Element,Ion,line_centre,LEP,loggf,REF,line_start,line_end,segment_start,segment_end
Y,2,5728.8865,1.839,-1.5,2017MNRAS.471..532P,5728.734,5729.024,5726.89,5730.89
Y,1,4819.6383,1.356,-0.462,K06,4819.338,4819.938,4817.64,4821.64
Y,2,4854.8611,0.992,-0.29,2017MNRAS.471..532P,4854.623,4855.101,4852.86,4856.86
Y,1,4854.9573,2.003,-0.201,K06,4854.623,4855.101,4852.86,4856.86
Y,2,4883.6821,1.084,0.1,2017MNRAS.471..532P,4883.45,4883.905,4881.68,4885.68
Y,1,4883.8434,2.353,-1.013,K06,4883.45,4883.905,4881.68,4885.68
Y,2,5662.9241,1.944,0.32,2017MNRAS.471..532P,5662.729,5663.168,5660.92,5664.92
Y,2,5728.8865,1.839,-1.5,2017MNRAS.471..532P,5728.734,5729.024,5726.89,5730.89
Zr,1,4739.48,0.651,0.23,BGHL,4739.319,4739.572,4737.48,4741.48
Zr,1,4772.31,0.623,0.04,BGHL,4772.23,4772.431,4770.31,4774.31
Zr,1,4805.87,0.687,-0.42,BGHL,4805.717,4806.057,4803.87,4807.87
Zr,1,4828.04,0.623,-0.64,BGHL,4827.912,4828.204,4826.04,4830.04
Zr,1,5680.9,0.543,-1.7,CB,5680.597,5681.197,5678.9,5682.9
Mn,1,4738.9176,3.772,-3.895,K07,4738.897,4739.304,4737.09,4741.09
Mn,1,4739.09,2.941,-0.604,DLSSC,4738.897,4739.304,4737.09,4741.09
Mn,1,4753.8969,5.214,-0.92,K07,4753.8,4754.3,4752.04,4755.6
Mn,1,4754.0183,2.282,-0.647,DLSSC,4753.8,4754.3,4752.04,4755.6
Mn,1,4754.0301,2.282,-0.787,DLSSC,4753.8,4754.3,4752.04,4755.6
Mn,1,4754.0472,2.282,-0.668,DLSSC,4753.8,4754.3,4752.04,4755.6
Mn,2,4754.0558,6.139,-3.124,K09,4753.8,4754.3,4752.04,4755.6
Mn,1,4754.0635,2.282,-0.67,DLSSC,4753.8,4754.3,4752.04,4755.6
Mn,1,4754.0784,2.282,-1.84,DLSSC,4753.8,4754.3,4752.04,4755.6
Mn,1,4761.4912,2.953,-1.166,DLSSC,4761.352,4761.762,4759.51,4763.51
Mn,1,4761.506,2.953,-0.548,DLSSC,4761.352,4761.762,4759.51,4763.51
Mn,1,4761.5198,2.953,-0.821,DLSSC,4761.352,4761.762,4759.51,4763.51
Mn,1,4761.5408,2.953,-1.613,DLSSC,4761.352,4761.762,4759.51,4763.51
Mn,1,4765.838,2.941,-0.601,DLSSC,4765.711,4766.057,4763.85,4767.85
Mn,1,4765.8525,2.941,-0.445,DLSSC,4765.711,4766.057,4763.85,4767.85
Mn,1,4765.8647,2.941,-0.676,DLSSC,4765.711,4766.057,4763.85,4767.85
Mn,1,4766.0086,4.425,-3.054,K07,4765.711,4766.057,4763.85,4767.85
Ru,1,4757.764,1.125,-2.67,WSL,4757.541,4758.141,4755.84,4759.84
Ru,1,4757.848,0.928,-0.96,WSL,4757.541,4758.141,4755.84,4759.84
Ru,1,4869.153,0.928,-0.83,WSL,4869.026,4869.284,4867.15,4871.15
Ru,1,5699.056,1.087,-1.47,WSL,5698.756,5699.356,5697.06,5701.06
Ba,2,5853.6663,0.604,-0.907,1992A\&A...255..457D,5853.5,5854,5851.67,5855.67
Ba,2,5853.6666,0.604,-0.947,1992A\&A...255..457D,5853.5,5854,5851.67,5855.67
Ba,2,5853.668,0.604,-0.907,1992A\&A...255..457D,5853.5,5854,5851.67,5855.67
Ba,2,5853.6686,0.604,-0.907,1992A\&A...255..457D,5853.5,5854,5851.67,5855.67
Ba,2,5853.6695,0.604,-0.907,1992A\&A...255..457D,5853.5,5854,5851.67,5855.67
Ba,2,5853.6756,0.604,-1.965,1992A\&A...255..457D,5853.5,5854,5851.67,5855.67
Ba,2,6496.8848,0.604,-1.143,1992A\&A...255..457D,6496.701,6497.278,6494.9,6498.5
Ba,2,6496.8856,0.604,-1.14,1992A\&A...255..457D,6496.701,6497.278,6494.9,6498.5
Ba,2,6496.897,0.604,-0.407,1992A\&A...255..457D,6496.701,6497.278,6494.9,6498.5
Ba,2,6496.8976,0.604,-0.407,1992A\&A...255..457D,6496.701,6497.278,6494.9,6498.5
Ba,2,6496.8984,0.604,-0.407,1992A\&A...255..457D,6496.701,6497.278,6494.9,6498.5
Ba,2,6496.8999,0.604,-0.503,1992A\&A...255..457D,6496.701,6497.278,6494.9,6498.5
Ba,2,6496.9009,0.604,-0.507,1992A\&A...255..457D,6496.701,6497.278,6494.9,6498.5
La,2,4716.44,0.772,-1.21,LBS,4716.302,4716.587,4712.44,4720.44
La,2,4748.73,0.927,-0.54,LBS,4748.575,4748.922,4743.03,4751.73
La,2,4804.002,0.235,-2.092,LBS,4803.85,4804.293,4800.04,4808.04
La,2,4804.0312,0.235,-1.967,LBS,4803.85,4804.293,4800.04,4808.04
La,2,4804.069,0.235,-1.87,LBS,4803.85,4804.293,4800.04,4808.04
La,2,5805.77,0.126,-1.56,LBS,5805.527,5805.934,5802.77,5809.07
Ce,2,4773.941,0.924,-0.39,LSCI,4773.843,4774.072,4771.94,4775.94
Ce,2,4774.023,0,-2.73,PQWB,4773.843,4774.072,4771.94,4775.94
Nd,2,4811.2925,0.064,-1.813,MC,4811.203,4811.535,4809.34,4813.34
Nd,2,4811.3079,0.064,-1.813,MC,4811.203,4811.535,4809.34,4813.34
Nd,2,4811.3129,0.064,-1.867,MC,4811.203,4811.535,4809.34,4813.34
Nd,2,4811.3206,0.064,-1.867,MC,4811.203,4811.535,4809.34,4813.34
Nd,2,4811.331,0.064,-1.929,MC,4811.203,4811.535,4809.34,4813.34
Nd,2,4811.3319,0.064,-1.929,MC,4811.203,4811.535,4809.34,4813.34
Nd,2,4811.3332,0.064,-1.14,MC,4811.203,4811.535,4809.34,4813.34
Nd,2,4811.3332,0.064,-1.14,MC,4811.203,4811.535,4809.34,4813.34
Nd,2,4811.3332,0.064,-1.14,MC,4811.203,4811.535,4809.34,4813.34
Nd,2,4811.3357,0.064,-1.14,MC,4811.203,4811.535,4809.34,4813.34
Nd,2,4811.342,0.064,-1.14,MC,4811.203,4811.535,4809.34,4813.34
Nd,2,4811.3466,0.064,-2.002,MC,4811.203,4811.535,4809.34,4813.34
Nd,2,4811.3471,0.064,-1.742,MC,4811.203,4811.535,4809.34,4813.34
Nd,2,4811.3598,0.064,-2.089,MC,4811.203,4811.535,4809.34,4813.34
Nd,2,4811.362,0.064,-1.867,MC,4811.203,4811.535,4809.34,4813.34
Nd,2,4811.3704,0.064,-2.198,MC,4811.203,4811.535,4809.34,4813.34
Nd,2,4811.3819,0.064,-2.14,MC,4811.203,4811.535,4809.34,4813.34
Nd,2,5740.858,1.16,-0.53,HLSC,5740.698,5741.033,5738.86,5742.86
Nd,2,5740.89,1.16,-0.53,HLSC,5740.698,5741.033,5738.86,5742.86
Nd,2,5740.9035,1.16,-0.53,HLSC,5740.698,5741.033,5738.86,5742.86
Nd,2,5740.9035,1.16,-0.53,HLSC,5740.698,5741.033,5738.86,5742.86
Nd,2,5740.9035,1.16,-0.53,HLSC,5740.698,5741.033,5738.86,5742.86
Nd,2,5740.9035,1.16,-0.53,HLSC,5740.698,5741.033,5738.86,5742.86
Nd,2,5740.9035,1.16,-0.53,HLSC,5740.698,5741.033,5738.86,5742.86
Nd,2,5770.489,1.081,-1.03,MC,5770.306,5770.708,5768.49,5772.49
Nd,2,5811.57,0.859,-0.86,HLSC,5811.335,5811.762,5809.57,5813.57
Nd,2,5811.5858,0.859,-1.564,HLSC,5811.335,5811.762,5809.57,5813.57
Nd,2,5811.5981,0.859,-1.564,HLSC,5811.335,5811.762,5809.57,5813.57
Nd,2,5811.6008,0.859,-1.612,HLSC,5811.335,5811.762,5809.57,5813.57
Nd,2,5811.6048,0.859,-0.86,HLSC,5811.335,5811.762,5809.57,5813.57
Nd,2,5811.6135,0.859,-1.337,HLSC,5811.335,5811.762,5809.57,5813.57
Nd,2,5811.6143,0.859,-1.666,HLSC,5811.335,5811.762,5809.57,5813.57
Nd,2,5811.6183,0.859,-0.86,HLSC,5811.335,5811.762,5809.57,5813.57
Nd,2,5811.6183,0.859,-0.86,HLSC,5811.335,5811.762,5809.57,5813.57
Nd,2,5811.6183,0.859,-0.86,HLSC,5811.335,5811.762,5809.57,5813.57
Nd,2,5811.6262,0.859,-1.728,HLSC,5811.335,5811.762,5809.57,5813.57
Nd,2,5811.6278,0.859,-1.462,HLSC,5811.335,5811.762,5809.57,5813.57
Nd,2,5811.64,0.859,-1.52,HLSC,5811.335,5811.762,5809.57,5813.57
Nd,2,5811.6426,0.859,-1.541,HLSC,5811.335,5811.762,5809.57,5813.57
Nd,2,5811.6554,0.859,-1.763,HLSC,5811.335,5811.762,5809.57,5813.57
Nd,2,5842.366,1.282,-0.6,MC,5842.186,5842.62,5840.37,5844.37
Nd,2,5842.42,1.282,-0.6,MC,5842.186,5842.62,5840.37,5844.37
Nd,2,5842.42,1.282,-0.6,MC,5842.186,5842.62,5840.37,5844.37
Nd,2,5842.42,1.282,-0.6,MC,5842.186,5842.62,5840.37,5844.37
Nd,2,5842.42,1.282,-0.6,MC,5842.186,5842.62,5840.37,5844.37
Nd,2,5842.42,1.282,-0.6,MC,5842.186,5842.62,5840.37,5844.37
Nd,2,5842.42,1.282,-0.6,MC,5842.186,5842.62,5840.37,5844.37
Sm,2,4719.84,0.04,-1.24,LD-HS,4719.538,4720.138,4717.84,4721.84
Sm,2,4720.13,0.544,-1.62,LD-HS,4719.538,4720.138,4717.84,4721.84
Sm,2,4791.58,0.104,-1.44,LD-HS,4791.285,4791.885,4789.58,4793.58
Sm,2,4836.6422,0.104,-2.758,LD-HS,4836.5,4836.75,4835.5,4837.8
Sm,2,4836.6543,0.104,-2.83,LD-HS,4836.5,4836.75,4835.5,4837.8
Sm,2,4836.66,0.104,-2.19,LD-HS,4836.5,4836.75,4835.5,4837.8
Sm,2,4836.66,0.104,-2.19,LD-HS,4836.5,4836.75,4835.5,4837.8
Sm,2,4836.66,0.104,-2.19,LD-HS,4836.5,4836.75,4835.5,4837.8
Sm,2,4836.66,0.104,-2.19,LD-HS,4836.5,4836.75,4835.5,4837.8
Sm,2,4836.66,0.104,-2.19,LD-HS,4836.5,4836.75,4835.5,4837.8
Sm,2,4836.66,0.104,-2.19,LD-HS,4836.5,4836.75,4835.5,4837.8
Sm,2,4836.6703,0.104,-2.668,LD-HS,4836.5,4836.75,4835.5,4837.8
Sm,2,4836.6814,0.104,-2.969,LD-HS,4836.5,4836.75,4835.5,4837.8
Sm,2,4847.76,0.659,-0.89,LD-HS,4847.46,4848.06,4845.76,4849.76
Sm,2,4854.3545,0.378,-1.954,LD-HS,4854.2,4854.5,4853.2,4855.5
Sm,2,4854.3664,0.378,-1.631,LD-HS,4854.2,4854.5,4853.2,4855.5
Sm,2,4854.368,0.378,-1.25,LD-HS,4854.2,4854.5,4853.2,4855.5
Sm,2,4854.368,0.378,-1.25,LD-HS,4854.2,4854.5,4853.2,4855.5
Sm,2,4854.368,0.378,-1.25,LD-HS,4854.2,4854.5,4853.2,4855.5
Sm,2,4854.368,0.378,-1.25,LD-HS,4854.2,4854.5,4853.2,4855.5
Sm,2,4854.368,0.378,-1.25,LD-HS,4854.2,4854.5,4853.2,4855.5
Sm,2,4854.368,0.378,-1.25,LD-HS,4854.2,4854.5,4853.2,4855.5
Sm,2,4854.3811,0.378,-1.663,LD-HS,4854.2,4854.5,4853.2,4855.5
Eu,2,5818.7119,1.23,-2.572,LWHS,5818.4,5819,5816.73,5820.73
Eu,2,5818.714,1.23,-2.572,LWHS,5818.4,5819,5816.73,5820.73
Eu,2,5818.7274,1.23,-1.421,LWHS,5818.4,5819,5816.73,5820.73
Eu,2,5818.7319,1.23,-1.696,LWHS,5818.4,5819,5816.73,5820.73
Eu,2,5818.7377,1.23,-2.085,LWHS,5818.4,5819,5816.73,5820.73
Eu,2,5818.7495,1.23,-2.131,LWHS,5818.4,5819,5816.73,5820.73
Eu,2,5818.7518,1.23,-1.654,LWHS,5818.4,5819,5816.73,5820.73
Eu,2,5818.7749,1.23,-1.949,LWHS,5818.4,5819,5816.73,5820.73
Eu,2,6645.0572,1.38,-0.517,LWHS,6644.82,6645.36,6643.1,6647.1
Eu,2,6645.0598,1.38,-0.495,LWHS,6644.82,6645.36,6643.1,6647.1
Eu,2,6645.0677,1.38,-1.814,LWHS,6644.82,6645.36,6643.1,6647.1
Eu,2,6645.0744,1.38,-0.555,LWHS,6644.82,6645.36,6643.1,6647.1
Eu,2,6645.083,1.38,-0.593,LWHS,6644.82,6645.36,6643.1,6647.1
Eu,2,6645.0858,1.38,-0.621,LWHS,6644.82,6645.36,6643.1,6647.1
Eu,2,6645.0978,1.38,-0.319,LWHS,6644.82,6645.36,6643.1,6647.1
Eu,2,6645.1006,1.38,-0.625,LWHS,6644.82,6645.36,6643.1,6647.1
Eu,2,6645.1205,1.38,-0.693,LWHS,6644.82,6645.36,6643.1,6647.1
Eu,2,6645.1366,1.38,-0.773,LWHS,6644.82,6645.36,6643.1,6647.1
Eu,2,6645.149,1.38,-0.871,LWHS,6644.82,6645.36,6643.1,6647.1
